Athlete,Pay,Salary/Winnings,Endorsements,Sport,Total,
Floyd Mayweather,105000000,105000000,0,Boxing,105000000,
Cristiano Ronaldo,80000000,52000000,28000000,Soccer,108000000,
LeBron James,72300000,19300000,53000000,Basketball,125300000,
Lionel Messi,64700000,41700000,23000000,Soccer,87700000,
Kobe Bryant,61500000,30500000,31000000,Basketball,92500000,
Tiger Woods,61200000,6200000,55000000,Golf,116200000,
Roger Federer,56200000,4200000,52000000,Tennis,108200000,
Phil Mickelson,53200000,5200000,48000000,Golf,101200000,`
Rafael Nadal,44500000,14500000,30000000,Tennis,74500000,
Matt Ryan,43800000,42000000,1800000,Football,45600000,
Manny Pacquiao,41800000,41000000,800000,Boxing,42600000,
Zlatan Ibrahimovic,40400000,36400000,4000000,Soccer,44400000,
Derrick Rose,36600000,17600000,19000000,Basketball,55600000,
Gareth Bale,36400000,25400000,11000000,Soccer,47400000,
Radamel Falcao,35400000,32400000,3000000,Soccer,38400000,
Neymar,33600000,17600000,16000000,Soccer,49600000,
Novak Djokovic,33100000,12100000,21000000,Tennis,54100000,
Matthew Stafford,33000000,31500000,1500000,Football,34500000,
Lewis Hamilton,32000000,29000000,3000000,Racing,35000000,
Kevin Durant,31900000,17900000,14000000,Basketball,45900000,
Fernando Alonso,31000000,29000000,2000000,Racing,33000000,
Mahendra Singh Dhoni,30000000,4000000,26000000,Cricket,56000000,
Dwyane Wade,29900000,18900000,11000000,Basketball,40900000,
Carmelo Anthony,29400000,21400000,8000000,Basketball,37400000,
Wladimir000litschko,28000000,24000000,4000000,Boxing,32000000,
Peyton Manning,27100000,15100000,12000000,Football,39100000,
Amar'e Stoudemire,26700000,21700000,5000000,Basketball,31700000,
"Dale Earnhardt, Jr.",25900000,14900000,11000000,Racing,36900000,
Dwight Howard,25500000,20500000,5000000,Basketball,30500000,
Cliff Lee,25300000,25100000,200000,Baseball,25500000,
Joe Mauer,24800000,23000000,1800000,Baseball,26600000,
Miguel Cabrera,24600000,22600000,2000000,Baseball,26600000,
Zack Greinke,24500000,24400000,50000,Baseball,24550000,
Maria Sharapova,24400000,2400000,22000000,Tennis,46400000,
Derek Jeter,24300000,15300000,9000000,Baseball,33300000,
Rory McIlroy,24300000,4300000,20000000,Golf,44300000,
Chris Paul,24200000,18700000,5500000,Basketball,29700000,
CC Sabathia,24200000,23000000,1200000,Baseball,25400000,
Prince Fielder,23900000,23500000,400000,Baseball,24300000,
Darrelle Revis,23800000,23000000,800000,Football,24600000,
Li Na,23600000,5600000,18000000,Tennis,41600000,
Jimmie Johnson,23500000,17000000,6500000,Racing,30000000,
Wayne Rooney,23400000,18400000,5000000,Soccer,28400000,
Sergio Aguero,23300000,18300000,5000000,Soccer,28300000,
Usain Bolt,23200000,200000,23000000,Track,46200000,
Dirk Nowitzki,23200000,22700000,500000,Basketball,23700000,
Blake Griffin,23000000,16500000,6500000,Basketball,29500000,
Alex Rodriguez,22900000,22600000,300000,Baseball,23200000,
Johan Santana,22900000,22500000,400000,Baseball,23300000,
